C406	CNC(=O)c1ccc(-c2noc(=O)[nH]2)cc1
C407	CC(=O)Nc1ccc(C23CC4CC(CC(O)(C4)C2)C3)cc1
C408	CNC(=O)C1CCN(c2ccc(C)cc2)C1=O
C409	CC(=O)N1CCC2(CC1)C(C)=Nc1ccccc12
C410	CNC(=O)c1cccc(N=S2(=O)CCCC2)c1
C411	CC(=O)NCc1cnn(CCO)c1
C412	CCC(NC(C)=O)c1nc(C)n[nH]1
C413	CNC(=O)c1cc2cccc(OC(F)F)c2o1
C414	CC(=O)N1CCC2(CC1)CCC(F)(F)C2
C415	COc1cnc(CNC(C)=O)[nH]c1=O
C416	CNC(=O)c1ccoc1C1(O)CCOCC1
C417	CNC(=O)Cn1[nH]c(=O)c2ccccc2c1=O
C418	COc1nn(CC(F)F)cc1NC(C)=O
C419	CNC(=O)Cc1cc(Cl)cc2c1OCC2
C420	CNC(=O)c1sc2ncccc2c1Cl
C421	CNC(=O)c1nc(OC(C)C)ccc1Cl
C422	CC(=O)N1CC(C(F)(F)F)CCC12CC2
C423	CC(=O)NCC(=O)N1CCN(c2ccc(Cl)cc2)CC1
C424	CC(=O)Nc1ccc(F)c(N2CCS(=O)(=O)CC2)c1
C425	CNC(=O)COC1CCN(C)CC1
C426	CNC(=O)c1ccc2c(c1)C(=O)N(c1ccc(F)cc1)C2=O
C427	CC(=O)NC1CCc2n[nH]c(=O)cc2C1
C428	CC(=O)N1CCCC(C#N)(c2ccccn2)C1
C429	CC(=O)NC(C)c1ccc(-c2csc(C)n2)cc1
C430	CNC(=O)c1cn(-c2cccnc2)nc1C1CCOCC1
C431	COc1c(C2CCCN2C(C)=O)c2ccccc2n1C
C432	CNC(=O)c1cc(=O)[nH]c(C2CCOCC2)n1
C433	CNC(=O)c1cc(OC)c2c(c1)OCCO2
