"","Accession","fp_only_abs_sum","Gene_Symbol","comparison","Abundance_Ratio_log2_","selected_pvalues"
"248","Q9GZS3",10.85,"WDR61","screen_C391_F__CRF",3.77,4.7e-06
"249","A6NIH7",10.63,"UNC119B","PC_C391_E1_20x__PC_C391_F",-1.14,0.166053152392458
"250","A6NIH7",10.63,"UNC119B","PC_C391_E10_20x__PC_C391_F",-0.52,0.847022831091612
"251","A6NIH7",10.63,"UNC119B","PC_C391_E4_20x__PC_C391_F",-1.45,0.0586850676698341
"252","A6NIH7",10.63,"UNC119B","PC_C391_E6_20x__PC_C391_F",-1.4,0.0691646501233715
"253","A6NIH7",10.63,"UNC119B","PC_C391_E8_20x__PC_C391_F",-0.78,0.507202766133429
"254","A6NIH7",10.63,"UNC119B","PC_C391_E9_20x__PC_C391_F",-1.13,0.174143135402122
"255","A6NIH7",10.63,"UNC119B","PC_C391_F__CRF",4.21,5.93783644354806e-05
"256","A6NIH7",10.63,"UNC119B","screen_C391_F__CRF",4.16,4.046e-05
"257","Q13011",10.61,"ECH1","PC_C391_E1_20x__PC_C391_F",-0.65,0.269955955153709
"258","Q13011",10.61,"ECH1","PC_C391_E10_20x__PC_C391_F",-0.33,0.85852206423126
"259","Q13011",10.61,"ECH1","PC_C391_E4_20x__PC_C391_F",-0.91,0.0703811084201718
"260","Q13011",10.61,"ECH1","PC_C391_E6_20x__PC_C391_F",-1.71,0.00174343474126515
"261","Q13011",10.61,"ECH1","PC_C391_E8_20x__PC_C391_F",-0.4,0.72228400739562
"262","Q13011",10.61,"ECH1","PC_C391_E9_20x__PC_C391_F",-1.81,0.00118242140391978
"263","Q13011",10.61,"ECH1","PC_C391_F__CRF",4.8,7.45935131329922e-07
"264","Q13011",10.61,"ECH1","screen_C391_F__CRF",5.1,8.326e-05
"265","Q15165",10.51,"PON2","PC_C391_E1_20x__PC_C391_F",-1.02,0.202950866874849
"266","Q15165",10.51,"PON2","PC_C391_E10_20x__PC_C391_F",-0.65,0.62009236635501
"267","Q15165",10.51,"PON2","PC_C391_E4_20x__PC_C391_F",-1.22,0.0985597493077804
"268","Q15165",10.51,"PON2","PC_C391_E6_20x__PC_C391_F",-1.62,0.0236392806222842
"269","Q15165",10.51,"PON2","PC_C391_E8_20x__PC_C391_F",-1.26,0.0844794501080849
"270","Q15165",10.51,"PON2","PC_C391_E9_20x__PC_C391_F",-1.14,0.129258935599264
