fragId,SMILES,SMILES Naked,HBD,HBA,cLogP,Heteroatoms,Rings,Rot. Bonds,Aromatic Bonds,Acidic Groups,Basic Groups,Atomic Polarizability
C296,C#CCCC1(CCNC(=O)c2cc(C)n3ncc(C(C)C)c3n2)N=N1,CNC(=O)c1cc(C)n2ncc(C(C)C)c2n1,1,4,1.5207199999999996,5,2,2,10,0,0,36.990688
C297,C#CCCC1(CCNC(=O)c2cccn2Cc2cccnc2)N=N1,CNC(=O)c1cccn1Cc1cccnc1,1,3,1.291,4,2,3,11,0,0,33.890309
C298,C#CCCC1(CCC(=O)NC2CCS(=O)(=O)C3(C2)CC(C(N)=O)C3)N=N1,CC(=O)NC1CCS(=O)(=O)C2(C1)CC(C(N)=O)C2,2,4,-0.666199999999999,7,2,2,0,0,0,39.670274
C299,C#CCCC1(CCNC(=O)Cc2nc(C(C)C)c(C)s2)N=N1,CNC(=O)Cc1nc(C(C)C)c(C)s1,1,3,1.8634199999999996,4,1,3,5,0,0,34.170688000000006
C300,C#CCCC1(CCNC(=O)Cc2c(Cl)c(CC)nn2C)N=N1,CCc1nn(C)c(CC(=O)NC)c1Cl,1,3,0.9243999999999999,5,1,3,5,0,0,31.457102000000006
C301,C#CCCC1(CCC(=O)NC(c2ccn[nH]2)C(F)(F)F)N=N1,CC(=O)NC(c1ccn[nH]1)C(F)(F)F,2,2,1.1492,7,1,2,5,0,0,23.427343999999998
C302,C#CCCC1(CCC(=O)N2CCc3nnc(N4C[C@H]5CN(C)C[C@H]5C4)cc3C2)N=N1,CC(=O)N1CCc2nnc(N3C[C@@H]4CN(C)C[C@@H]4C3)cc2C1,0,5,0.37900000000000045,6,4,1,6,0,1,49.79823900000002
C303,C#CCCC1(CCC(=O)N2CCn3c(C(=O)NC(C)C)ccc3C2C)N=N1,CC(=O)N1CCn2c(C(=O)NC(C)C)ccc2C1C,1,3,1.5493999999999999,5,2,2,5,0,0,43.54665299999999
C304,C#CCCC1(CCC(=O)Nc2ccc(-c3cn4cccc(C)c4n3)cc2)N=N1,CC(=O)Nc1ccc(-c2cn3cccc(C)c3n2)cc1,1,3,3.2681200000000015,4,3,2,16,0,0,42.263895000000005
C305,C#CCCC1(CCNC(=O)c2c(CC)nc3ccc(Cl)cn23)N=N1,CCc1nc2ccc(Cl)cn2c1C(=O)NC,1,3,1.9096999999999997,5,2,2,10,0,0,33.643516000000005
C306,C#CCCC1(CCC(=O)N2CCC(n3nnc4c(=O)[nH][nH]c(=O)c43)CC2)N=N1,CC(=O)N1CCC(n2nnc3c(=O)[nH][nH]c(=O)c32)CC1,2,6,-1.0086999999999986,9,3,1,10,0,0,37.70110200000001
C307,C#CCCC1(CCC(=O)N2CCCC(COC(F)(F)F)C2)N=N1,CC(=O)N1CCCC(COC(F)(F)F)C1,0,2,1.7812999999999999,6,1,2,0,0,0,29.550101999999995
C308,C#CCCC1(CCC(=O)N2CC(CC(N)=O)OC(C)(C)C2)N=N1,CC(=O)N1CC(CC(N)=O)OC(C)(C)C1,1,3,-0.1122999999999994,5,1,2,0,0,0,34.208274
C309,C#CCCC1(CCC(=O)N2CC[C@@H]3[C@H](C2)NC(=O)N3CCOC)N=N1,CC(=O)N1CCN(C2(C(N)=O)CCOC2)CC1,1,4,-1.2050999999999978,6,2,2,0,0,1,37.73506700000001
C310,C#CCCC1(CCC(=O)NCc2cc(C(F)(F)F)ccc2N2CCN(C)CC2)N=N1,CC(=O)NCc1cc(C(F)(F)F)ccc1N1CCN(C)CC1,1,3,2.0933,7,2,3,6,0,1,45.508860000000006
C311,C#CCCC1(CCC(=O)N2CCS(=O)(=O)CC2c2ccc(C)o2)N=N1,CC(=O)N1CCS(=O)(=O)CC1c1ccc(C)o1,0,4,0.9060200000000003,6,2,1,5,0,0,36.569894999999995
C312,C#CCCC1(CCC(=O)NC2CC3CCC(C2)N3S(C)(=O)=O)N=N1,CC(=O)NC1CC2CCC(C1)N2S(C)(=O)=O,1,3,0.07750000000000057,6,2,2,0,0,0,37.108274
C313,C#CCCC1(CCNC(=O)c2nnc(-c3ccccc3OC)[nH]2)N=N1,CNC(=O)c1nnc(-c2ccccc2OC)[nH]1,2,4,0.8399000000000001,6,2,3,11,0,0,33.365516
C314,C#CCCC1(CCNC(=O)c2cc(C3CC3)nc3c(Cl)cnn23)N=N1,CNC(=O)c1cc(C2CC2)nc2c(Cl)cnn12,1,4,1.6197,6,3,2,10,0,0,34.07672300000001
C316,C#CCCC1(CCC(=O)NCc2nc([C@H]3CN4CCC[C@H]4CO3)no2)N=N1,CC(=O)NCc1nc([C@H]2CN3CCC[C@H]3CO2)no1,1,6,0.24140000000000028,7,3,3,5,0,1,39.92827400000001
C317,C#CCCC1(CCNC(=O)c2cc(S(=O)(=O)NC)cs2)N=N1,CNC(=O)c1cc(S(=O)(=O)NC)cs1,2,4,0.015800000000000092,7,1,3,5,0,0,29.393929999999997
C318,C#CCCC1(CCNC(=O)c2nc(C3CCN(C)CC3)n[nH]2)N=N1,CNC(=O)c1nc(C2CCN(C)CC2)n[nH]1,2,4,-0.02649999999999969,6,2,2,5,0,1,35.23748100000001
C319,C#CCCC1(CCC(=O)N2CC(c3n[nH]c4c3COCC4)C2)N=N1,CC(=O)N1CC(c2n[nH]c3c2COCC3)C1,1,3,0.4280999999999997,5,3,1,5,0,0,34.26589500000001
C320,C#CCCC1(CCNC(=O)c2cc(C)n(-c3ncccn3)c2C)N=N1,CNC(=O)c1cc(C)n(-c2ncccn2)c1C,1,4,1.24374,5,2,2,11,0,0,35.657102
C321,C#CCCC1(CCC(=O)NCC(O)(c2ncc(C)o2)C(F)(F)F)N=N1,CC(=O)NCC(O)(c1ncc(C)o1)C(F)(F)F,2,4,0.8690199999999995,8,1,3,5,0,0,29.451723
C322,C#CCCC1(CCNC(=O)C2CN(C(=O)Nc3cc(Cl)ccc3OC)C2)N=N1,CNC(=O)C1CN(C(=O)Nc2cc(Cl)ccc2OC)C1,2,3,1.5583,7,2,3,6,0,0,41.434688
C323,C#CCCC1(CCC(=O)NC2(C(N)=O)CC(C(F)F)C2)N=N1,CC(=O)NC1(C(N)=O)CC(C(F)F)C1,2,2,0.021699999999999386,6,1,3,0,0,0,26.999516
